"Cost per conversation in USD, effective June 1, 2023",,,,,
Market,Currency,Marketing,Utility,Authentication,Service
Argentina,$US,0.0618,0.0408,0.0367,0.0316
Brazil,$US,0.0625,0.0350,0.0315,0.0300
Chile,$US,0.0889,0.0586,0.0527,0.0454
Colombia,$US,0.0125,0.0085,0.0077,0.0060
Egypt,$US,0.1073,0.0687,0.0618,0.0644
France,$US,0.1432,0.0768,0.0691,0.0859
Germany,$US,0.1365,0.0853,0.0768,0.0819
India,$US,0.0099,0.0042,rate not finalized; reference utility rate,0.0040
Indonesia,$US,0.0411,0.0200,0.0300,0.0190
Israel,$US,0.0353,0.0188,0.0169,0.0180
Italy,$US,0.0691,0.0420,0.0378,0.0386
Malaysia,$US,0.0860,0.0200,0.0180,0.0220
Mexico,$US,0.0436,0.0266,0.0239,0.0105
Netherlands,$US,0.1597,0.0800,0.0720,0.0891
Nigeria,$US,0.0516,0.0319,0.0287,0.0310
Pakistan,$US,0.0473,0.0253,0.0228,0.0142
Peru,$US,0.0703,0.0419,0.0377,0.0179
Russia,$US,0.0802,0.0477,0.0429,0.0398
Saudi Arabia,$US,0.0406,0.0252,0.0226,0.0195
South Africa,$US,0.0379,0.0200,0.0180,0.0168
Spain,$US,0.0615,0.0380,0.0342,0.0369
Turkey,$US,0.0109,0.0093,0.0083,0.0030
United Arab Emirates,$US,0.0340,0.0198,0.0178,0.0190
United Kingdom,$US,0.0705,0.0398,0.0358,0.0388
North America,$US,0.0250,0.0150,0.0135,0.0088
Rest of Africa,$US,0.0225,0.0160,0.0144,0.0363
Rest of Asia Pacific,$US,0.0732,0.0472,0.0425,0.0224
Rest of Central & Eastern Europe,$US,0.0860,0.0619,0.0557,0.0250
Rest of Latin America,$US,0.0740,0.0494,0.0445,0.0423
Rest of Middle East,$US,0.0341,0.0198,0.0178,0.0218
Rest of Western Europe,$US,0.0592,0.0420,0.0378,0.0397
Other,$US,0.0604,0.0338,0.0304,0.0145